question,answer
The terminal-point overload in proportional navigation is related to ()etc. factorsrelevant. A. target maneuver B. missilevelocity C. targetvelocity D. target maneuver,ABCD
"When using the three-point guidance method, considering terminal-point overload, the ballistic target is easily affected by the following () (2) factorsofaffect.A. targetvelocitychange B. target maneuver C. missilevelocity",ABC
The following are tasks of radio command guidance (). A. searching for and selecting targets B. observing and tracking targets C. controlling launch and observing the missile D. guiding the missile toward the target E. sending a launch command,ABCD
Radio command guidance systems can be divided into () form. A. radar-tracking command guidance system B. TVM command guidance system C. television-tracking command guidance system D. infrared homing guidance system,ABC
The following are tasks of radio command guidance (). A. searching for and selecting targets B. observing and tracking targets C. controlling launch and observing the missile D. guiding the missile toward the target E. sending a launch command,ABCD
The following statements about infrared rays are correct ().A. infrared raysofwavelengththan visible light B. infrared raysin large in the atmosphereoftransmission attenuationthan visible lightlarge C. infrared rayshavehave ofthermal effect D. infrared rayscan totopropagate in a straight line at the speed of light,ACD
The infrared radiation of a conventional jet aircraft mainly comes from ().A. tail nozzleexhaustedofhigh-temperature gas B. micro-nozzle of the engineofheated section C. aircraft fuselageskin D. airflow over the body surface,ABC
The position of an infrared image point on the image plane is described by()describe. A. slant range B. elevation angle C. azimuth angle D. displacement amount,CD
"There are many types of modulation disks; according to modulation mode, they can be divided into (). A. amplitude-modulation type B. frequency-modulation type C. phase-modulation type D. pulse-width-modulation type",ABCD
"For a full-spoke modulation disk, when the image point area remains unchanged and its position moves toward the center of the disk, the following will occur ().A. modulation signalpeak valuereducesmall B. modulation signalvalley valueincreaselarge C. modulation depthreducesmall D. displacement amountincreaselarge",ABC
The following statements about infrared rays are correct ().A. infrared raysofwavelengththan visible light B. infrared raysin large in the atmosphereoftransmission attenuationthan visible lightsmall C. infrared rayshavehave ofthermal effect D. infrared rayscan totopropagate in a straight line at the speed of light,BCD
The infrared radiation of a conventional jet aircraft mainly comes from (). A. tail nozzleexhaustedofhigh-temperature gas B. micro-nozzle of the engineofheated section C. aircraft fuselageskin D. airflow over the body surface,ABC
The position of an infrared image point on the image plane is described by()describe. A. slant range B. elevation angle C. azimuth angle D. displacement amount,CD
"There are many types of modulation disks; according to modulation mode, they can be divided into ().A. amplitude-modulation typeB frequency-modulation typeC phase-modulation typeD pulse-width-modulation type",ABCD
"According to development history and working principle, gyroscopes can be divided into which stages.() A. mechanical frame gyroscope B. optical gyroscope C. MEMS gyroscope D. mechanical gyroscope",ABC
A. platform inertial navigation system mainly consists of()consist of. A. physical platform B. accelerometer C. gyroscope D. computing system,ABCD
Platform inertial navigation systems are divided into analytic inertial navigation systems and local-level inertial navigation systems; the local-level inertial navigation systems can further be divided into () A. north-slaved inertial navigation system B. wander-azimuth inertial navigation system C. free-azimuth inertial navigation system D. random-azimuth inertial navigation system,ABC
"The main characteristics of a platform inertial navigation system include () A. easy to install, and can isolateexternal environmentto components inside the platformofaffect B. the measured navigation informationthenisrelativeto in navigation coordinate axesofcomponent, the computational load is relatively small C. maintainability is improved D. volume, mass, cost is relatively low",AB
The navigation information used to describe the carrier attitude includes () A. heading angle B. elevation angle C. roll angle D. pitch angle,ACD
"According to development history and working principle, gyroscopes can be divided into ()stages.A. mechanical frame gyroscope B. optical gyroscope C. MEMS gyroscope D. mechanical gyroscope",ABC
Platform inertial navigation systems are divided into analytic inertial navigation systems and local-level inertial navigation systems; the local-level inertial navigation systems can further be divided into (). A. north-slaved inertial navigation system B. wander-azimuth inertial navigation system C. free-azimuth inertial navigation system D. random-azimuth inertial navigation system,ABC
"The main characteristics of a platform inertial navigation system include ().A. easy to install,and can isolateexternal environmentto components inside the platformofaffect B. the measured navigation informationthenisrelativeto in navigation coordinate axesofcomponent,the computational load is relatively small C. maintainability is improved D. volume, mass, cost is relatively low",AB
The angles describing carrier attitude are(). A. heading angle B. elevation angle C. roll angle D. pitch angle,ACD
body coordinate systemandvelocity of betweenof bythe followingEuler anglesdetermine A. roll angle B. angle of attack C. sideslip angle D. bank angle,BC
"bodyliftetc. in fuselage, wing, tailandaerodynamic control surfaceeach selfofliftof anddraginclude A. friction drag B. pressure drag C. induced drag",ABC
"fuselagein flightin the process, must bear A. axial force B. shear force C. bending moment D. torque",ABCD
"missile small quantityblunting, can to A. reduce stress concentration at the nose tip B. reducesmall nose tipaerodynamic heatingC reducesmall drag D. increase lift",AB
fuselageofnormal-force coefficientandthe followingfactorsrelated to A. angle of attack B. sideslip angle C. cylindrical partoffineness ratio D. Mach number,AC
"adoptuse STTmaneuver, need to as A. angle of attackas zero B. bodyaxisymmetric C. roll angleas zero D. sideslip angleas zero",BC
"adoptuse B. TTmaneuver, need to is A. angle of attackas zero B. bodyplane-symmetric C. make use air-breathing jet engine D. sideslip angleas zero E. bank angleas zero",BCD
aerodynamic six-component data table quantitycharacterizesbodyaerodynamicoutside shapedesignand of A. aerodynamic efficiency B. control efficiency C. static stability D. control coupling characteristics E. bodynatural frequency F. pitching moment angle of attackchangeoflinearity,ABCDEF
aerodynamic six-component data tableis A. overall design department geometric schemeofbasis B. trajectory calculation and simulationofbasis C. attitude control designofbasis D. engine thrustcalculationofbasis,ABC
bodyof include A. aerodynamic coupling B. control coupling C. inertial cross-coupling D. Euler kinematic coupling,ABCD
"selectrelative overall parameterscarry outdesignofgood have A. flight can andrelativeto quantityrelated to, idealvelocityandpropellant mass ratiorelated to B. relativeto quantityas, relativelyallow straight C. relativeto quantity between method, parametersdesignaccuracyhigh D. not need",AB
missileschemedesigninbasicofrelative overall parametershave A. propellant mass ratio B. launch thrust-to-weight ratio C. section loading coefficientorwing loading coefficient D. lift-to-drag ratio,ABC
cruise missileengineof forceselectandthe followingfactorsrelated to A. cruise speed B. cruise altitude C. shape drag coefficientandreference area D. detector accuracy,ABC
The missile guidance system mainly includes(). A. guidance subsystem B. control system C. damage system,AB
aerodynamic forcealong velocity coordinate systemcan to as (). A. lift B. axial force C. lateral force D. drag,ACD
Methods to improve the static stability of a missile include(). A. changewingoutside shape B. changewingarea C. adjustcenter of massposition D. controlmethods,ABC
"to in in flight within the atmosphereofmissile,motion modeoftheory is(). A. Newton's first law B. angular momentum theorem C. Newton's second law D. law of conservation of energy",BC
characterizeswithout missileflightofmotion include(). A. 6itemsdynamic equation B. 6itemskinematic equation C. 1itemsmass-variation equation D. 3itemsangle relationship equation,ABCD
"the followingrelated toin when false assume,positive correctofhave(). A. false assumemoment of inertiaetc. in zero B. ignoreactuation mechanism rear missileabout bodyaxis oftransient process C. false assumecontrol systemidealoperation D. ignorecontrol systemoperationoftransient processandactuation mechanism oftransient process",ABCD
The terminal-point overload in proportional navigation is related to()etc. factorsrelevant. A. target maneuver B. missilevelocity C. targetvelocity D. target maneuver,ABCD
"According to development history and working principle, gyroscopes can be divided intowhichstages.() A. mechanical frame gyroscope B. optical gyroscope C. MEMS gyroscope D. mechanical gyroscope",ABC
benefituse gyroscopeof()can to realizeto ofmeasure. A. nutation B. rigidity in space C. apparent precession D. precession,BD
A. platform inertial navigation system mainly consists of()consist of. A. physical platform B. accelerometer C. gyroscope D. computing system,ABCD
"The main characteristics of a platform inertial navigation system include(). A. easy to install,and can isolateexternal environmentto components inside the platformofaffect B. the measured navigation informationthenisrelativeto in navigation coordinate axesofcomponent,the computational load is relatively small C. maintainability is improved D. volume, mass, cost is relatively low",AB
The angles describing carrier attitude are(). A. heading angle B. elevation angle C. roll angle D. pitch angle,ACD
Which of the following parameters can be measured by the measuring device of a missile guidance system?() A. missileofposition B. missileofvelocity C. targetofposition D. targetofvelocity,ABCD
"According to launch point and target position, missiles can be divided into() A. surface-to-surface missile B. surface-to-air missile C. air-to-air missile D. air-to-surface missile",ABCD
Types of missile propulsion devices include() A. rocket engine B. air-breathing jet engine C. combined engine D. solar engine,ABC
Types of missile warhead fillings include() A. B. missile C. D.,ABCD
Missile guidance modes include() A. selfmain guidance B. homing guidance C. remote control guidance D. composite guidance,ABCD
Factors affecting missile range include() A. propulsion device performance B. missile quantity C. flighthigh degree D.,ABCD
Functions of the missile body include() A. installeach system B. load C. ensureflightstability D. providelift,ABC
Missile launch modes include() A. land-based launch B. sea-based launch C. air-based launch D. space-based launch,ABCD
"According to flight trajectory, missiles can be divided into() A. ballistic missile B. cruise missile C. hypersonic missile D. glide missile",AB
The missile control system includes() A. attitude control system B. trajectory control system C. launch control system D. safety self-destruction system,ABC
A. missile consists of multiple subsystems; the following belong to missile subsystems. A. warhead system B. electrical and control system C. propulsion system D. structural system,ABCD
The mechanisms in the vehicle body structure generally mainly include the following categories. A. deployment mechanism B. actuation mechanism C. separation mechanism D. folding mechanism,BCD
The following items belong to the preliminary prototype stage of missile structural system development A. structural layout design B. structural strength check C. qualification test D. flight test,ABC
"Among the following external forces, the following are mass forces A. aerodynamic force B. gravity C. inertial force D. force",BC
"When determining a structural analysis model, the basic principles that need to be satisfied include A. shouldpositive correctanti-reflect the structureofactual characteristics B. shouldandanalysis objectivebe compatible with C. shouldandcalculation toolbe compatible with D. shouldandcalculation methodbe compatible with",ABCD
Dynamic characteristic analysis of missile structures is carried out to obtain A. natural frequency B. structural damping C. mode shape D. dynamic stress,AC
Functions of the wing include A. producelift B. produce force C. producecontrol forceandmoment D. make missilehavehave need toofmaneuverabilityandstability,ACD
The following wings belong to frame-skin wings A. multi-spar wing B. internally braced wing C. monoblock wing D. solid-wall-panel wing,ABC
"When the load of a single-spar wing is transferred to the fuselage joint, it is mainly converted into A. axial force B. shear force C. bending moment D. torque",BC
The following belong to wing structural design requirements A. stiffness requirement B. geometric accuracy requirement C. volume requirement D. aerodynamic heating requirement,ABD
The skin of a stringer-type fuselage structure bears the following loads A. axial force B. shear force C. bending moment D. torque,ABCD
"As a connection method between compartments, sleeve connection has the following main advantages A. simple process B. simple structure C. lighter weight D. deviation easy to control",BCD
"As a connection method between compartments, axial flange connection has the following main advantages A. easy to drill B. small bending deviation C. lighter weight D. easy to improve stiffness",ABD
"Among the mechanical property parameters of a material, the quantity representing material strength is A. elastic modulus B. Poisson ratio C. yield limit D. ultimate strength",CD
Aerodynamic force is the reaction force of airflow on the missile.,T
"Aerodynamic force is a complex distributed force system related to many factors such as missile speed, the relative orientation between airflow and the body, and altitude.",T
The center of pressure is the point at which the distributed force system acting on the missile is equivalent to a resultant force according to the force-system simplification principle.,T
The center of pressure is not the same as the aerodynamic center; the aerodynamic center is the point of action of the resultant lift caused only by a nonzero angle of attack.,T
"Aerodynamic coefficients measured in the wind tunnel are obtained in the body coordinate system. To obtain aerodynamic forces in the velocity coordinate system, the corresponding coordinate transformation matrix is required.",T
"With the aerodynamic layout and geometric dimensions given, the lift of the body depends only on angle of attack and elevator deflection.",F
Lateral stability refers to the ability of the body to automatically return to equilibrium after a temporary external disturbance moment causes it to tilt about the longitudinal axis oX1.,T
Civil aircraft have dihedral angle and sweep angle that raise the wings in order to enhance lateral stability.,T
Whether the body is statically stable depends only on its geometric layout and mass distribution!,T
"If the body is statically stable, the partial derivative of pitching moment coefficient with respect to angle of attack is greater than zero!",F
"As long as the body is statically stable, it can certainly provide a restoring moment!",T
All uncontrolled flight vehicles such as rockets and reentry warheads must be statically stable!,T
"The main factors affecting the yawing moment of the body are sideslip angle, rudder deflection, and their partial derivatives",T
Directional static stability also depends only on geometric layout!,T
Hinge moment is the moment of aerodynamic force on the control surface about the hinge axis and is unrelated to the output torque of the actuator!,T
The output torque of the actuator should be at least greater than the hinge moment; when selecting an actuator it is generally taken as twice the hinge moment.,T
"Inertial navigation is a basic autonomous navigation mode. It depends on the accuracy of inertial devices such as accelerometers measuring the acceleration of the body center of mass and attitude gyros measuring attitude or angular rate, and it is independent of the outside world!",T
Another major error source of strapdown navigation is the initial alignment error.,T
"Satellite navigation and positioning can eliminate accumulated errors caused by gyro drift in inertial navigation, so an inertial navigation device is not necessary.",F
"If the output torque of the actuator is larger, the bandwidth becomes narrower and the response becomes slower.",T
"If the wing is designed such that its leading edge is behind the Mach line, the Mach angle is smaller than the leading-edge angle; this is called a subsonic leading edge, and wave drag does not exist.",T
"For surface-to-air missiles, wing area depends on the required maneuver overload; for subsonic cruise missiles, wing area depends on the required lift-to-drag ratio.",T
"The determination of wing size is based on the designed wing area and preselected geometric parameters such as aspect ratio, taper ratio, and sweep angle.",T
"After the geometric layout is selected, the design of aerodynamic control surfaces depends on the required control efficiency, namely the control-to-stability ratio, and the hinge moment of the control surface.",T
"Generally, subsonic flight vehicles have wings with larger aspect ratio, while supersonic flight vehicles have smaller aspect ratio, less than 2",T
The maximum lift-to-drag ratio of a missile is proportional to the square root of lift-curve slope and inversely proportional to the square root of the zero-lift drag coefficient.,T
Wing sweep can effectively reduce wave drag during supersonic flight.,T
"The total normal-force coefficient of the body is approximately the sum of the normal-force coefficients of the fuselage, wing, and tail.",T
"The static stability margin of a missile is related not only to geometric design but also to mass distribution, and it also changes with flight time.",T
"In missile design, the tail area is usually designed last to satisfy the static stability margin requirement.",T
The static stability margins of the X-shaped layout and the + shaped layout are equal.,F
"Although missile body dynamics are nonlinear, engineering tests show that piecewise linearization can be used with classical linearization theory to study and design missile control stability.",T
"The lower the launch speed of an uncontrolled body, the more severe the adverse effect of gravity on flight stability.",T
An uncontrolled body must be statically stable in order to be dynamically stable.,T
"Because a sounding rocket is uncontrolled, its geometric design must not only be statically stable, but must also provide sufficient restoring moment to resist disturbance moments such as wind shear.",T
The stability of disturbed body motion can be considered using only the third-order short-period perturbation motion.,T
"The control-to-stability ratio is related to the operating point (for example, the current trim angle of attack and control-surface deflection), and also to the slopes of the moment coefficients at that operating point (such as the partial derivative of pitching-moment coefficient with respect to angle of attack and the partial derivative of control moment coefficient with respect to control-surface deflection).",T
"The control-to-stability ratio is the ratio of the increment of trim angle of attack to the increment of control-surface deflection, and it must be calculated according to the aerodynamic-coefficient table and the incremental moment-coefficient balance equation.",T
Linearity analysis means giving the function curve between a certain moment and the corresponding independent variable at a given operating point and analyzing the degree of linear proportionality.,T
"Because the lateral size is small, missiles usually do not have dedicated ailerons in order to save space and reduce weight.",T
The deflection of each control surface produces corresponding control moments about the three axes of the body.,T
The allocation matrix from three equivalent control-surface deflections to four actual control-surface deflections is not unique.,T
Flight stability of a statically unstable body must rely on negative-feedback control to create artificial damping.,T
The six-component aerodynamic data table quantitatively reflects the aerodynamic characteristics jointly caused by geometric design and component arrangement.,T
"Controlling a statically unstable body is relatively more difficult than controlling a statically stable body, and it also places higher requirements on actuator output torque and bandwidth.",T
"In component arrangement, the seeker is usually placed in the radome at the front end of the fuselage, followed by the warhead and instrument compartment (including navigation and electronic equipment), and finally the engine.",T
"The nose shape and fineness ratio of the fuselage, the length and diameter of the cylindrical section, and the shapes, areas, and installation positions of the wing and tail affect not only lift-to-drag ratio and maneuver overload, but also stability.",T
"In addition to ensuring the functional integration of components, component arrangement should also consider mass layout so that the body coordinate axes are principal inertia axes and the inertia tensor is diagonal as much as possible.",T
"When selecting an engine scheme in overall design, existing mature technology is always preferred, or technology requiring only minor modification.",T
"The main difference between a rocket engine and an air-breathing jet engine is that the former carries oxidizer, while the latter instead inhales air.",T
"After startup of a turbojet engine, the turbine working cycle is driven by gas from the combustion chamber.",T
"A. ramjet has no compressor, turbine, or other rotor components; compression is achieved by inlet ram pressure.",T
A. ramjet cannot be started directly and requires a booster to accelerate it to about Mach 2.5,T
"Typical tactical missile engines (such as those for anti-tank missiles and surface-to-air missiles) are often divided into a booster stage and a sustainer stage, or use a single chamber with dual thrust. The booster stage has high thrust and short duration, while the sustainer stage has lower thrust but longer operating time.",T
"ballistic missileandits missilerelativethan, thatadoptuse ofsolidrocket engineofdiameterlarge, forcelarge, operationwhenbetween.",T
solidrocket engineof whenbetweengenerallynot exceed70.,T
"solidrocket engineofinside trajectoryisrefer to propellant grain that ofcombustion chamberpressure, force whenbetweenofchangerelationship, namely pressureor force- whenbetweencurve.",T
"medium- and long-rangeballistic missileofengine ofMinuteman2-, Minuteman-3havehave forcevector, cancontrolflight.",T
"long-rangemissileofsolidenginecasingadoptuse about casing, while missileenginegenerallyadoptuse low ofhigh strength or material.",T
adjuststar grainofparametersthencan toadjustinside trajectoryof forcecurve,T
"star grainandits shapethan relatively, forcerelativelylarge, parameterscan, normal be ballistic missileand missileofbooster stagemake use.",T
"missile flight can radiate, velocityoroverloadetc. ofmain need toparameters, callas overall parameters.",T
"mass inofpropellantmasscoefficientnot isbasis, whileisneed to flight can related to velocityorradiate calculationobtainto.",T
"mass havehave upper of, because of as enginestructuremasscoefficient, body structuremasscoefficientneed tobasis or.",T
"than is whenbetweenchangeof, but overall parametersdesignrelated to ofislaunch thrust-to-weight ratiooraverage thrust-to-weight ratiothan!",T
"cruise missilewing loading coefficientisaccording tomaximum lift-to-drag ratioprinciplesdesignof, whilesurface-to-air missileisaccording tomost large needoverloadprinciplesdesignof.",T
"wing loading coefficientparametersinofareaS, can toiswingofareaorfuselageofcross-sectional area, upper is valuecalculationaerodynamiccoefficientwhenthatto shouldofreference area!selectwing loading coefficient, ofisas obtainto provide the requiredliftlarge small to shouldofreference area.",T
"to in ballistic missile, enginediameter, section loading coefficientinofreference areaSthenisdetermineoffuselagecross-sectional area, not requiredagain select section loading coefficientanti- fuselagecross-sectional area.",T
"straight methodin, structuremassandpropellant grainmass need to can can correct engineparameters diameter, length, diameterorcombustion chamberpressure, areathan, propellant grainparametersetc. offunction, inside trajectory force is parametersoffunction, havehaveinside in because of relationship.",T
"ballistic missile ofNo. thenis to oftargetandassume oflaunchpoint, design flighttrajectory, theoryupper make missilealong trajectoryflight.",T
"in schemedesignstages, trajectorydesignas structureand systemprovideaerodynamicload, load, temperatureloadetc. parameters, as guidanceandcontrol systemdesignprovide the requiredoftrajectoryparameters.",T
main assume normal valueattitude angle isas ensurerelated to front of stableaccuracy.,T
"trajectorydesigninclude azimuth angleofcalculationandpitchflight angleofcalculation, pitch anglealso false assumeas parameters offunction, most as seek missile pointandits ofparameters.",T
"solutionmissilemost flight questionits is value question, ofselfchangequantityispitch angle whenbetweenofchangefunction.",T
"gravity intrue ofmost flight is items ofanti-positive function, designin, as can touse pitch angle whenbetweenoflinearfunction.",T
"controlof to correct missile, as, main, trajectoryparametersdesignwhen, to again can angle ofmost again than example methodstoconvenient pointand angle, carry outtrajectoryandguidancemethodsof design.",T
"guidanceneed tohave designgoodof calltrajectory, and issmall quantity haverelativelygoodofguidancecontroleffectiveness",T
"guidancemethodsof isin calltrajectoryupper ofeach point, to causetrajectorychangeof changequantitycarry out, linear, carry out anti- controlof.",T
velocityincrease is flighttrajectory pointofneedvelocityvectorandwhenfront velocityvectorof,T
velocityincrease guidancenormal use in large atmosphereoutside ballistic missile related to control.,T
missile controllerdesignnot needconsideractuator ofpower transfer function,F
"missileis ofnon-linearwhenchangesystem, attitude control designisin point to power carry outsmall, carry outlinear, thuscan along use classicaloflinearsystemcontrolmethods in transfer functionofcontrollerdesignmethods obtain pointoflinearcontroller, not ofoperation pointonly need tocarry outcontrolparametersofincrease degree.",T
trajectory flightof control commandisto and trajectoryto shouldof anglecarry outguidancecheckpositive obtainto ofattitude anglecommand.,T
"classicalofwhen PIDcontrolleror front rear checkpositive, isbasicof controllerstructure, considerto actuatorpower of and affect, controlleroftransfer functioncan canhigh in.",T
"of canis normal value, but not goodallow and whilenot stable.",T
"controllerdesign need tocalculationoperationpoint of, obtainto linear power coefficient, givefrom etc. equivalent control-surface deflectionto attitude angleorangle of attacketc. oftransfer functionmode, can in self control theorydesigncheckpositive.",T
"flight, if adoptuse lift, lift-to-drag ratiolarge in axisto call",T
"describemissileaerodynamicoutside shapedesignefficiencyofrefer to not islift-to-drag ratio, whileisstatic stability.",F
missilebodydesignbecause of missile small make obtainaerodynamiccontrol surfaceof controlefficiencylow.,T
"materialandstructureofstrengthrefer toofismaterialandstructurein load, temperatureetc. operationenvironmentlower resist andmaintainpositive normal operationofcapability.",T
have methodisstructureanalysisinnormal use ofa kind of correctsolutionmethods.,F
missilestructuredynamic characteristics analysis can to as structureandits othersystemof analysisofbasis.,T
"mode shapedampingthan in to reducesmall should valuehave functions, in non- havefunctions.",F
"changeshape isrefer toin structural deformationandaerodynamic force functionslower, structural deformationof.",F
control surfacenot belong towing.,F
"in wingdesignin the process, flight structuredesignofbasicrequirements, also required outside shape correctdegree, stiffness, aerodynamic heatingetc. specialrequirements.",T
structurewingof generallyalong toward.,F
"forceanalysiswhen need toconsidermain main load-bearing elementupper forceofoverall, also need toconsider main load-bearing elementtoand need to force position.",F
"ofmain jointcan wingof bending momentand large shear force, but not wingtorque.",F
"in fuselagein the structure, is axial forceandbending momentofmain main load-bearing element.",T
ofsectionareamain need toaccording to stiffness requirementdetermine.,T
reinforced framemain must bearlarge of load.,F
"as improvehigh fuselagestructuredesign, designcalculation in main main load-bearing element determineof front carry out.",F
"fuselageeach of strengthcoefficientη large in 1, and ηthe more large structuredesignthe more reasonable.",F
fuselageoftorsion causehead sectionof angle of attack.,F
offunctionsisin missile rear can actuation mechanism.,F
"than change use is flightparametersadjustcontrol surfaceofdeflection angle, to shouldmissilestabilityandmaneuverabilityrequirements, and large oflateral load.",T
control surfaceof form isactuation mechanismof itemsdesign.,T
"in thathaveactuation mechanismdesignin, all have relationship, stiffness,, motion independenceetc. ofdesignrequirements.",F
"temperature high when, metal materialofstrengthgenerally improvehigh.",F
"ofstrengthandstiffnessthan aluminum alloyneed tohigh many, fuselagecasingnormal use.",F
"materialof materialoffatigue resistance, generallysmall in materialof ultimate strength.",T
stressstrengthbecause of crackmaterial resist ofcapability.,F
"magnesium alloyof pointis strengthandelastic moduluslow, resistant to can.",T
"titanium alloy ofadvantagesisstrength than alloy steelsmall many, but specific strengththan alloy steelhigh.",F
fiber-reinforced compositeofmain need toadvantagesiseach itemsdirection havehaverelativelyhigh ofspecific strengthandspecific stiffness.,F
fiber-reinforced compositeoffatigue resistanceandreduce can relatively.,F
missilestructureseparation ofselectandmaterialofselect belong tomissilestructuredesignofinside allow. (),T
missilestructureofoperationenvironmentbelong toits designof. (),T
body coordinate systemof pointin its center of pressure. (),F
"missileadoptuse when,verticalin towardupper improve produceofaccelerationas $9.8\mathrm{m / s}^{2}$, whenmissileoflateral overloadcoefficient $n_{\mathrm{yl}}$ as 1. ()",F
"in determinemissileofdesignsituationwhen,requiredto thathavecan canoftrajectoryall carry outcalculation. ()",F
"structureofstrengthuse materialofforce can(proportional limit, ultimate strength, etc.). ()",F
"use method missilenatural frequencywhen,that obtainfrequencyofmost high etc. in pointitems. ()",F
"body structurenatural frequencyshouldandcontrol systemfrequency proximity,toconvenientin missileofcontrol. ()",F
"control reversalisrefer tobyin structural deformationandaerodynamic force functionscausecontrol surfaceeffectivenesscan low,to anti- of. ()",T
according to etc. ofsparthan verticalin fuselageaxis ofsparof good. (),T
missileof forceanalysisisa kind of quantityofanalysis. (),F
force isoutside loadbyfunctions structureinside of. (),T
fuselageupper of force hatch coveronly whilenot axial force. (),T
"relative compartment section ofbending engineof force,but offset not.()",F
